year,actual,predicted
2016,214.69999999999996,185.79800000000003
2016,176.69999999999996,172.4639999999999
2016,193.9,171.25900000000004
2016,216.0,133.4480000000001
2016,161.7,159.00099999999986
2016,206.1,200.65599999999995
2016,0.0,124.52899999999998
2016,204.69999999999996,193.766
2016,202.19999999999996,173.1930000000002
2016,0.0,156.744
2016,201.30000000000004,185.68300000000002
2016,156.0,89.98
2016,198.5,159.13799999999992
2016,208.6,178.90799999999987
2016,159.5,165.20499999999996
2016,135.2,145.95399999999995
2016,177.1,137.62899999999996
2016,154.0,102.594
2016,208.0,173.5469999999999
2016,134.6,118.081
2016,189.0,178.148
2016,199.0,149.68400000000003
2016,204.6,165.8630000000001
2016,199.0,165.836
2016,147.8,121.28599999999994
2016,212.30000000000004,159.8640000000001
2016,149.8,140.7479999999999
2016,202.1,160.31300000000007
2016,185.5,158.766
2016,171.19999999999996,141.639
2016,197.0,154.86800000000017
2016,0.0,165.06799999999996
2016,0.0,159.28099999999992
2016,211.30000000000004,172.98100000000014
2016,199.19999999999996,169.891
2016,149.1,129.48399999999995
2016,189.19999999999996,198.4899999999998
2016,205.5,189.60599999999985
2016,188.4,141.47199999999998
2016,142.7,145.37800000000001
2016,210.6,183.06400000000002
2016,156.4,127.67199999999994
2016,191.80000000000004,163.9839999999999
2016,198.0,132.31000000000003
2016,198.5,144.58399999999995
2016,147.6,86.11399999999996
2016,204.69999999999996,176.55199999999994
2016,194.6,163.40500000000011
2016,0.0,112.35599999999991
2016,200.30000000000004,191.49699999999993
2016,107.8,103.70299999999999
2016,0.0,154.76299999999995
2016,232.80000000000004,179.43900000000002
2016,197.5,155.24399999999991
2016,203.9,168.95100000000002
2016,115.8,114.99199999999998
2016,204.80000000000004,124.805
2016,184.5,166.63600000000008
2016,173.30000000000004,123.46300000000002
2016,159.2,172.02699999999993
2016,158.7,139.70299999999997
2016,205.1,159.09499999999989
2016,198.5,186.91299999999984
2016,180.80000000000004,154.81699999999995
2016,149.2,142.82099999999997
2016,210.69999999999996,198.10699999999994
2016,173.9,138.05299999999997
2016,128.6,108.17499999999998
2016,203.0,160.139
2016,211.19999999999996,193.7709999999999
2016,142.2,113.69099999999997
2016,177.6,159.2029999999999
2016,185.5,141.932
2016,178.80000000000004,151.29199999999994
2016,180.0,123.93799999999992
2016,236.0,172.79300000000003
2016,165.0,176.22300000000007
2016,161.2,159.14499999999998
2016,190.30000000000004,169.52100000000002
2016,199.80000000000004,165.416
2016,200.30000000000004,182.50900000000004
2016,165.8,162.88299999999992
2016,209.19999999999996,169.29700000000005
2016,210.0,151.29399999999998
2016,212.19999999999996,199.7069999999999
2016,206.1,156.75500000000014
2016,215.30000000000004,149.872
2016,179.5,142.06899999999993
2016,136.6,106.943
2016,188.0,105.94400000000002
2016,186.30000000000004,121.20999999999991
2016,214.30000000000004,140.16700000000006
2016,0.0,59.44299999999998
2016,158.8,158.29200000000012
2016,222.1,176.1620000000001
2016,144.0,157.62299999999985
2016,211.5,176.2660000000001
2016,0.0,164.164
2016,213.19999999999996,185.45499999999993
2016,199.1,194.33099999999985
2016,0.0,113.03899999999996
2016,186.5,142.90200000000002
2016,216.0,189.84
2016,161.1,136.21799999999996
2016,173.19999999999996,103.93799999999997
2016,146.5,105.15100000000001
2016,202.30000000000004,156.10100000000008
2016,159.9,156.27899999999997
2016,180.1,144.39300000000006
2016,208.4,170.827
2016,210.80000000000004,152.04700000000005
2016,197.80000000000004,174.84799999999996
2016,211.9,156.94300000000007
2016,210.4,172.7040000000001
2016,179.5,155.99400000000003
2016,174.5,149.55799999999988
2016,175.30000000000004,108.854
2016,160.5,126.64399999999992
2016,218.1,146.42399999999995
2016,213.5,185.75599999999994
2016,208.19999999999996,180.58699999999993
2016,206.4,172.8250000000002
2016,196.9,117.18299999999994
2016,144.6,109.57199999999992
2016,182.80000000000004,138.015
2016,135.1,143.43300000000002
2016,109.09999999999998,62.20499999999999
2016,171.9,163.96699999999987
2016,162.3,123.53099999999989
2016,141.5,118.91799999999999
2016,215.30000000000004,186.55699999999996
2016,0.0,43.51599999999999
2016,203.69999999999996,166.94400000000007
2016,0.0,32.595
2016,183.0,115.62199999999999
2016,169.0,151.47700000000003
2016,200.0,187.58599999999996
2016,201.1,198.86799999999985
2016,214.6,178.6829999999999
2016,144.6,146.10999999999999
2016,202.0,156.82100000000014
2016,149.8,42.951000000000015
2016,0.0,24.393000000000008
2016,188.69999999999996,111.72999999999993
2016,177.4,157.765
2016,189.6,152.57399999999996
2016,206.80000000000004,193.63499999999996
2016,181.1,157.50099999999992
2016,197.9,129.15800000000002
2016,181.1,127.8769999999999
2016,213.5,139.29700000000003
2016,200.80000000000004,183.36399999999995
2016,149.2,152.9510000000001
2016,148.8,106.46099999999996
2016,209.30000000000004,152.09500000000003
2016,210.69999999999996,183.95300000000003
2016,158.4,75.39399999999998
2016,203.1,133.32000000000002
2016,126.90000000000002,81.09499999999997
2016,147.9,174.01100000000002
2016,208.4,188.7069999999998
2016,127.3,132.54199999999994
2016,195.9,179.90200000000002
2016,140.5,85.69899999999998
